effectsize_id,study_id,author,year,country,journal,DOI,include,age_mean,age_med,age_min,age_max,gender,population,total_sample,ni,cm_measure,measure_mod,item_number,reliability,subtype_reliability,su_measure,cm_type,mod_cm,substance,su_mod,control_id,prop_control,mean_control,sd_control,n_control,prop_cm,mean_cm,sd_cm,n_cm,OR,or_cilb,or_ciub,ri,effectsize_metric,notes,specific_notes,additional_notes,guo_include,robust_1,robust_2,robust_3,robust_4,robust_5,robust_6
21,4,"Cohen, J.R., Menon, S.V., Shorey, R.C., Le, V.D., Temple, J.R.",2017,USA,Child Abuse & Neglect,https://doi.org/10.1016/j.chiabu.2016.11.030,1,18.25,,,,58.3,high school students in Houston,580,580,self-report CTQ-SF,self-report,28,0.78,EA,self-report,EA,EA,alcohol,alcohol,5,,,,,,,,,,,,0.1,r,ea x alcohol,"table 2, bivariate",,,1,1,1,1,1,1
22,4,"Cohen, J.R., Menon, S.V., Shorey, R.C., Le, V.D., Temple, J.R.",2017,USA,Child Abuse & Neglect,https://doi.org/10.1016/j.chiabu.2016.11.030,1,18.25,,,,58.3,high school students in Houston,580,580,self-report CTQ-SF,self-report,28,0.78,EA,self-report,EA,EA,illicit drug,illicit drug,5,,,,,,,,,,,,0.13,r,ea x illicit drug,"table 2, bivariate",,,1,1,1,1,1,1
23,4,"Cohen, J.R., Menon, S.V., Shorey, R.C., Le, V.D., Temple, J.R.",2017,USA,Child Abuse & Neglect,https://doi.org/10.1016/j.chiabu.2016.11.030,1,18.25,,,,58.3,high school students in Houston,580,580,self-report CTQ-SF,self-report,28,0.78,EA,self-report,EA,EA,cigarette ,cigarette,5,,,,,,,,,,,,0.21,r,ea x cigarette,"table 2, bivariate",,,1,1,1,1,1,1
24,4,"Cohen, J.R., Menon, S.V., Shorey, R.C., Le, V.D., Temple, J.R.",2017,USA,Child Abuse & Neglect,https://doi.org/10.1016/j.chiabu.2016.11.030,1,18.25,,,,58.3,high school students in Houston,580,580,self-report CTQ-SF,self-report,28,0.94,SA,self-report,SA,SA,alcohol,alcohol,5,,,,,,,,,,,,0.02,r,sa x alcohol,"table 2, bivariate",,,1,1,1,1,1,1
25,4,"Cohen, J.R., Menon, S.V., Shorey, R.C., Le, V.D., Temple, J.R.",2017,USA,Child Abuse & Neglect,https://doi.org/10.1016/j.chiabu.2016.11.030,1,18.25,,,,58.3,high school students in Houston,580,580,self-report CTQ-SF,self-report,28,0.94,SA,self-report,SA,SA,illicit drug,illicit drug,5,,,,,,,,,,,,0.07,r,sa x illicit drug ,"table 2, bivariate",,,1,1,1,1,1,1
26,4,"Cohen, J.R., Menon, S.V., Shorey, R.C., Le, V.D., Temple, J.R.",2017,USA,Child Abuse & Neglect,https://doi.org/10.1016/j.chiabu.2016.11.030,1,18.25,,,,58.3,high school students in Houston,580,580,self-report CTQ-SF,self-report,28,0.94,SA,self-report,SA,SA,cigarette ,cigarette,5,,,,,,,,,,,,0.06,r,sa x cigarette ,"table 2, bivariate",,,1,1,1,1,1,1
27,4,"Cohen, J.R., Menon, S.V., Shorey, R.C., Le, V.D., Temple, J.R.",2017,USA,Child Abuse & Neglect,https://doi.org/10.1016/j.chiabu.2016.11.030,1,18.25,,,,58.3,high school students in Houston,580,580,self-report CTQ-SF,self-report,28,0.72,PA,self-report,PA,PA,alcohol,alcohol,5,,,,,,,,,,,,0.02,r,pa x alcohol,"table 2, bivariate",,,1,1,1,1,1,1
28,4,"Cohen, J.R., Menon, S.V., Shorey, R.C., Le, V.D., Temple, J.R.",2017,USA,Child Abuse & Neglect,https://doi.org/10.1016/j.chiabu.2016.11.030,1,18.25,,,,58.3,high school students in Houston,580,580,self-report CTQ-SF,self-report,28,0.72,PA,self-report,PA,PA,illicit drug,illicit drug,5,,,,,,,,,,,,0.1,r,pa x illicit drug,"table 2, bivariate",,,1,1,1,1,1,1
29,4,"Cohen, J.R., Menon, S.V., Shorey, R.C., Le, V.D., Temple, J.R.",2017,USA,Child Abuse & Neglect,https://doi.org/10.1016/j.chiabu.2016.11.030,1,18.25,,,,58.3,high school students in Houston,580,580,self-report CTQ-SF,self-report,28,0.72,PA,self-report,PA,PA,cigarette ,cigarette,5,,,,,,,,,,,,0.16,r,pa x cigarette,"table 2, bivariate",,,1,1,1,1,1,1
30,5,"De Sanctis, V.A., Trampush, J.W., Harty, S.C., Marks, D.J., Newcorn, J.H., Miller, C.J., Halperin, J.M.",2008,USA,Journal of Clinical Child & Adolescent Psychology,https://doi.org/10.1080/15374410802359650,1,18.21,,16,21,12.8,youth diagnosed with ADHD; from a longitudinal sample,80,34,self-report CTQ-SF,self-report,28,.66 - .92,,RADQ (self) + interview,CM,any,any,any,6,,,,,,,,,,,,0.38,r,childhood maltreatment x substance use disorder,"table 2, converted from chi square",table says n = 34 for SUD & n= 46 for No SUD,,1,1,1,1,1,1
31,6,"Dubowitz, H., Thompson, R., Arria, A.M., English, D., Metzger, R., Kotch, J.B.",2016,USA,Child Maltreatment,https://doi.org/10.1177/1077559515620853,0,,,12,18,53,LONGSCAN,702,,CPS records,case records,,,,structured interviews,PA,PA,marijuana ,marijuana,7,,,,,,,,,,,,0.11,r,pa x marijuana,"table 2, raw frequencies were calculated for pa, sa, n x never, some, & heavy, some + heavy were combined which gave a 2x2 contigency table, chisquare test calculated & then converted into Pearsons r ( = sqrt(x2/n)",,,1,0,0,0,0,0
32,6,"Dubowitz, H., Thompson, R., Arria, A.M., English, D., Metzger, R., Kotch, J.B.",2016,USA,Child Maltreatment,https://doi.org/10.1177/1077559515620853,0,,,12,18,53,LONGSCAN,702,,CPS records,case records,,,,structured interviews,SA,SA,marijuana ,marijuana,7,,,,,,,,,,,,0.07,r,sa x marijuana,"table 2, bivariate relationship",,,1,0,0,0,0,0
33,6,"Dubowitz, H., Thompson, R., Arria, A.M., English, D., Metzger, R., Kotch, J.B.",2016,USA,Child Maltreatment,https://doi.org/10.1177/1077559515620853,0,,,12,18,53,LONGSCAN,702,,CPS records,case records,,,,structured interviews,N,N,marijuana ,marijuana,7,,,,,,,,,,,,0.03,r,n x  marijuana,"table 2, bivariate relationship",,,1,0,0,0,0,0
39,7,"Duprey E.B., Oshri, A., Caughy, M.O.",2017,USA,Journal of Youth Adolescence ,https://doi.org/10.1007/s10964-017-0672-x,0,14.35,,12,16,49,LONGSCAN,965,300,CPS records,case records,,,,self-report ,N,N,marijuana ,marijuana,8,,,,,,,,,,,,0.1,r,n (0-4) x marijuana (14),table 2 bivariate,,,0,0,0,0,0,0
40,7,"Duprey E.B., Oshri, A., Caughy, M.O.",2017,USA,Journal of Youth Adolescence ,https://doi.org/10.1007/s10964-017-0672-x,0,14.35,,12,16,49,LONGSCAN,965,300,CPS records,case records,,,,self-report ,N,N,cigarette ,marijuana,8,,,,,,,,,,,,0.07,r,n (0-4) x cigarette (14),table 2 bivariate,,,0,0,0,0,0,0
41,7,"Duprey E.B., Oshri, A., Caughy, M.O.",2017,USA,Journal of Youth Adolescence ,https://doi.org/10.1007/s10964-017-0672-x,0,14.35,,12,16,49,LONGSCAN,965,300,CPS records,case records,,,,self-report ,N,N,alcohol,alcohol,8,,,,,,,,,,,,0.11,r,n (0-4) x alcohol (14),table 2 bivariate,,,0,0,0,0,0,0
42,7,"Duprey E.B., Oshri, A., Caughy, M.O.",2017,USA,Journal of Youth Adolescence ,https://doi.org/10.1007/s10964-017-0672-x,0,16.31,,12,16,49,LONGSCAN,965,300,CPS records,case records,,,,self-report ,N,N,marijuana ,marijuana,9,,,,,,,,,,,,0.1,r,n(0-4) x marijuana (16),table 2 bivariate,,,0,0,0,0,0,0
43,7,"Duprey E.B., Oshri, A., Caughy, M.O.",2017,USA,Journal of Youth Adolescence ,https://doi.org/10.1007/s10964-017-0672-x,0,16.31,,12,16,49,LONGSCAN,965,300,CPS records,case records,,,,self-report ,N,N,cigarette ,cigarette,9,,,,,,,,,,,,0.08,r,n(0-4) x cigarette (16),table 2 bivariate,,,0,0,0,0,0,0
44,7,"Duprey E.B., Oshri, A., Caughy, M.O.",2017,USA,Journal of Youth Adolescence ,https://doi.org/10.1007/s10964-017-0672-x,0,16.31,,12,16,49,LONGSCAN,965,300,CPS records,case records,,,,self-report ,N,N,alcohol,alcohol,9,,,,,,,,,,,,0.04,r,n(0-4) x alcohol (16),table 2 bivariate,,,0,0,0,0,0,0
45,7,"Duprey E.B., Oshri, A., Caughy, M.O.",2017,USA,Journal of Youth Adolescence ,https://doi.org/10.1007/s10964-017-0672-x,0,14.35,,12,16,49,LONGSCAN,965,300,CPS records,case records,,,,self-report ,N,N,marijuana ,marijuana,8,,,,,,,,,,,,-0.05,r,n(4-8) x marijuana (14),table 2 bivariate,,,0,0,0,0,0,0
46,7,"Duprey E.B., Oshri, A., Caughy, M.O.",2017,USA,Journal of Youth Adolescence ,https://doi.org/10.1007/s10964-017-0672-x,0,14.35,,12,16,49,LONGSCAN,965,300,CPS records,case records,,,,self-report ,N,N,cigarette ,cigarette,8,,,,,,,,,,,,0.05,r,n(4-8) x cigarette (14),table 2 bivariate,,,0,0,0,0,0,0
47,7,"Duprey E.B., Oshri, A., Caughy, M.O.",2017,USA,Journal of Youth Adolescence ,https://doi.org/10.1007/s10964-017-0672-x,0,14.35,,12,16,49,LONGSCAN,965,300,CPS records,case records,,,,self-report ,N,N,alcohol,alcohol,8,,,,,,,,,,,,0.02,r,n(4-8) x alcohol (14),table 2 bivariate,,,0,0,0,0,0,0
48,7,"Duprey E.B., Oshri, A., Caughy, M.O.",2017,USA,Journal of Youth Adolescence ,https://doi.org/10.1007/s10964-017-0672-x,0,16.31,,12,16,49,LONGSCAN,965,300,CPS records,case records,,,,self-report ,N,N,marijuana ,marijuana,9,,,,,,,,,,,,0.01,r,n(4-8) x marijuana (16),table 2 bivariate,,,0,1,0,0,0,0
49,7,"Duprey E.B., Oshri, A., Caughy, M.O.",2017,USA,Journal of Youth Adolescence ,https://doi.org/10.1007/s10964-017-0672-x,0,16.31,,12,16,49,LONGSCAN,965,300,CPS records,case records,,,,self-report ,N,N,cigarette ,cigarette,9,,,,,,,,,,,,0.01,r,n(4-8) x cigarette (16),table 2 bivariate,,,0,1,0,0,0,0
50,7,"Duprey E.B., Oshri, A., Caughy, M.O.",2017,USA,Journal of Youth Adolescence ,https://doi.org/10.1007/s10964-017-0672-x,0,16.31,,12,16,49,LONGSCAN,965,300,CPS records,case records,,,,self-report ,N,N,alcohol,alcohol,9,,,,,,,,,,,,0.02,r,n(4-8) x alcohol (16),table 2 bivariate,,,0,1,0,0,0,0
51,7,"Duprey E.B., Oshri, A., Caughy, M.O.",2017,USA,Journal of Youth Adolescence ,https://doi.org/10.1007/s10964-017-0672-x,0,14.35,,12,16,49,LONGSCAN,965,300,CPS records,case records,,,,self-report ,N,N,marijuana ,marijuana,8,,,,,,,,,,,,0.03,r,n(8-12) x marijuana (14),table 2 bivariate,,,0,0,0,0,0,0
52,7,"Duprey E.B., Oshri, A., Caughy, M.O.",2017,USA,Journal of Youth Adolescence ,https://doi.org/10.1007/s10964-017-0672-x,0,14.35,,12,16,49,LONGSCAN,965,300,CPS records,case records,,,,self-report ,N,N,cigarette ,cigarette,8,,,,,,,,,,,,0.04,r,n(8-12) x cigarette (14),table 2 bivariate,,,0,0,0,0,0,0
53,7,"Duprey E.B., Oshri, A., Caughy, M.O.",2017,USA,Journal of Youth Adolescence ,https://doi.org/10.1007/s10964-017-0672-x,0,14.35,,12,16,49,LONGSCAN,965,300,CPS records,case records,,,,self-report ,N,N,alcohol,alcohol,8,,,,,,,,,,,,-0.02,r,n(8-12) x alcohol (14),table 2 bivariate,,,0,0,0,0,0,0
54,7,"Duprey E.B., Oshri, A., Caughy, M.O.",2017,USA,Journal of Youth Adolescence ,https://doi.org/10.1007/s10964-017-0672-x,0,16.31,,12,16,49,LONGSCAN,965,300,CPS records,case records,,,,self-report ,N,N,marijuana ,marijuana,9,,,,,,,,,,,,0.07,r,n(8-12) x marijuana (16),table 2 bivariate,,,0,0,0,0,0,0
55,7,"Duprey E.B., Oshri, A., Caughy, M.O.",2017,USA,Journal of Youth Adolescence ,https://doi.org/10.1007/s10964-017-0672-x,0,16.31,,12,16,49,LONGSCAN,965,300,CPS records,case records,,,,self-report ,N,N,cigarette ,cigarette,9,,,,,,,,,,,,0.05,r,n(8-12) x cigarette (16),table 2 bivariate,,,0,0,0,0,0,0
56,7,"Duprey E.B., Oshri, A., Caughy, M.O.",2017,USA,Journal of Youth Adolescence ,https://doi.org/10.1007/s10964-017-0672-x,0,16.31,,12,16,49,LONGSCAN,965,300,CPS records,case records,,,,self-report ,N,N,alcohol,alcohol,9,,,,,,,,,,,,0.01,r,n(8-12) x alcohol (16) ,table 2 bivariate,,,0,0,0,0,0,0
57,8,"Fagan, A.A., Novak, A.",2018,USA,Youth Violence and Juvenile Justice ,https://doi.org/10.1177/1541204017735568,0,16.2,,,16,53.5,LONGSCAN,620,428,CPS records,case records,,,,self-report,CM,any,alcohol,alcohol,10,,,,,,,,,,,,0.16,r,aces x alcohol,table 2 bivariate,,,0,0,1,0,0,0
58,8,"Fagan, A.A., Novak, A.",2018,USA,Youth Violence and Juvenile Justice ,https://doi.org/10.1177/1541204017735568,0,16.2,,,16,53.5,LONGSCAN,620,428,CPS records,case records,,,,self-report,CM,any,marijuana ,marijuana,10,,,,,,,,,,,,0.19,r,aces x marijuana,table 2 bivariate ,,,0,0,1,0,0,0
59,8,"Fagan, A.A., Novak, A.",2018,USA,Youth Violence and Juvenile Justice ,https://doi.org/10.1177/1541204017735568,0,16.2,,,16,48.4,LONGSCAN,620,192,CPS records,case records,,,,self-report,CM,any,alcohol,alcohol,11,,,,,,,,,,,,-0.01,r,aces x alcohol,table 2 bivariate ,,,0,0,1,0,0,0
60,8,"Fagan, A.A., Novak, A.",2018,USA,Youth Violence and Juvenile Justice ,https://doi.org/10.1177/1541204017735568,0,16.2,,,16,48.4,LONGSCAN,620,192,CPS records,case records,,,,self-report,CM,any,marijuana ,marijuana,11,,,,,,,,,,,,0.07,r,aces x marijuana,table 2 bivariate ,,,0,0,1,0,0,0
61,9,"Faulkner, B., Goldstein, A.L., Wekerle, C.",2014,USA,Child Maltreatment,https://doi.org/10.1177/1077559514551944,1,17.89,,16,19,62.7,MAP longitudinal,158,158,self-report CTQ-SF,self-report,25,.69 - .94 ,,self-report,CM,any,alcohol,alcohol,12,,,,,,,,,,,,0.02,r,total abuse/neglect x past 30-day binge,table 1 bivariate,,,1,1,1,1,1,1
62,9,"Faulkner, B., Goldstein, A.L., Wekerle, C.",2014,USA,Child Maltreatment,https://doi.org/10.1177/1077559514551944,1,17.89,,16,19,62.7,MAP longitudinal,158,158,self-report CTQ-SF,self-report,25,.69 - .94 ,,self-report,CM,any,marijuana ,marijuana,12,,,,,,,,,,,,-0.05,r,total abuse/neglect x past 30-day marijuana use,table 1 bivariate,,,1,1,1,1,1,1
63,10,"Grella, C.E., Joshi, V.",2018,USA,Child Maltreatment,https://doi.org/10.1177/1077559502239610,1,15.9,,,,59,Adolescents in drug treatment programs,803,221,self-report (interview),self-report,,,,self-report,CM,any,marijuana ,marijuana,13,0.865,,,342,0.855,,,221,,,,,,abuse x weekly marijuana use M,table 2 characteristics of adolescents in drug treatment by gender,,,1,1,1,1,1,1
64,10,"Grella, C.E., Joshi, V.",2018,USA,Child Maltreatment,https://doi.org/10.1177/1077559502239610,1,15.9,,,,59,Adolescents in drug treatment programs,803,221,self-report (interview),self-report,,,,self-report,CM,any,cocaine,illicit drug,13,0.053,,,342,0.145,,,221,,,,,,abuse x weekly cocaine use M,table 2 characteristics of adolescents in drug treatment by gender,,,1,1,1,1,1,1
65,10,"Grella, C.E., Joshi, V.",2018,USA,Child Maltreatment,https://doi.org/10.1177/1077559502239610,1,15.9,,,,59,Adolescents in drug treatment programs,803,221,self-report (interview),self-report,,,,self-report,CM,any,amphetamines,illicit drug,13,0.064,,,342,0.113,,,221,,,,,,abuse x weekly amphetamine use M,table 2 characteristics of adolescents in drug treatment by gender,,,1,1,1,1,1,1
66,10,"Grella, C.E., Joshi, V.",2018,USA,Child Maltreatment,https://doi.org/10.1177/1077559502239610,1,15.9,,,,59,Adolescents in drug treatment programs,803,221,self-report (interview),self-report,,,,self-report,CM,any,hallucinogens,illicit drug,13,0.114,,,342,0.172,,,221,,,,,,abuse x weekly hallucinogen use M,table 2 characteristics of adolescents in drug treatment by gender,,,1,1,1,1,1,1
67,10,"Grella, C.E., Joshi, V.",2018,USA,Child Maltreatment,https://doi.org/10.1177/1077559502239610,1,15.2,,,,59,Adolescents in drug treatment programs,803,141,self-report (interview),self-report,,,,self-report,CM,any,marijuana ,marijuana,14,0.707,,,99,0.723,,,141,,,,,,abuse x weekly marijuana use F,table 2 characteristics of adolescents in drug treatment by gender,,,1,1,1,1,1,1
68,10,"Grella, C.E., Joshi, V.",2018,USA,Child Maltreatment,https://doi.org/10.1177/1077559502239610,1,15.2,,,,59,Adolescents in drug treatment programs,803,141,self-report (interview),self-report,,,,self-report,CM,any,cocaine,illicit drug,14,0.061,,,99,0.071,,,141,,,,,,abuse x weekly cocaine use F,table 2 characteristics of adolescents in drug treatment by gender,,,1,1,1,1,1,1
